aspect	xs	sm	md	lg	xl
16x16	12	6	4	3	2
15x16	12	6	4	3	2
14x16	12	6	4	3	2
13x16	12	4	3	3	2
12x16	6	4	3	3	2
11x16	6	4	3	3	2
10x16	6	3	2	2	2
9x16	6	3	2	2	2
8x16	6	3	2	2	1
7x16	6	2	2	2	1
6x16	6	2	2	1	1
5x16	6	2	1	1	1
4x16	3	1	1	1	1
3x16	3	1	1	1	1
2x16	2	1	1	1	1
1x16	2	1	1	1	1
16x15	12	6	4	3	2
16x14	12	6	4	3	2
16x13	12	6	4	3	2
16x12	12	6	4	3	2
16x11	12	6	4	3	2
16x10	12	6	4	3	2
16x9	12	6	4	3	2
16x8	12	6	4	3	2
16x7	12	6	4	3	2
16x6	12	6	4	3	3
16x5	12	6	6	4	3
16x4	12	6	6	4	3
16x3	12	6	6	6	3
16x2	12	6	6	6	3
16x1	12	6	6	6	3
