twitter_id,handle,username,realname,location
14851579,_kyliejane,Kylie Wilson,,
223959960,_penguin_runner,Kirsten Reilly,,
750118427105320960,_sebastianch_,Sebastian Hancock,,
524827769,_willdebras,Will Bonnell,,
98332912,1LuisDavid,Luis David R,,
1167140433329348608,21_foxi,foxi.21,,
1055130038092345344,24horasqroo,24 Horas Quintana Roo,,
1056624482566266880,57x025,emil,,
359015182,7Javier6,Javier,,
142327013,a_esceptica,AECH,,
378353279,a3065794,fer,,
1162392841303277568,ABpdts,AndrewBoltonBPDTS,,
1656493320,adalMC,Adalberto Manzanilla,,
849655357320200192,AdamAstro3,Adam Astro,,
1669086991,AdamCares99,Adam Cares,,
768386760216805376,adamdsteer,"Adam Steer, doctor of all the things!",,
19429174,AdamGruer,Adam Gruer,,
1158109936146092033,AdamMico1,Adam Mico,,
797871767809380352,AdiBop_,A. D. Mac,,
116146018,adisadit,Adityo Dwijananto,,
982048786620010497,AdonaisLee,Lee Adonais,,
152954171,AGrinsted,Aslak Grinsted,,
509842172,AgroDer,AgroDer,,
818719251272003584,AgroDer_Intl,AgroDer Intl,,
799775490,AHerodoto,Almacenes Heródoto,,
215404498,akadouri,Ariel Kadouri,,
14868073,alastairotter,Alastair Otter,,
65498243,aletslopez,Alecantropo.,,
330588903,Alex_geomatic,Granié Alexandre,,
48219656,alexgleith,Alex Leith,,
572767490,alfaroca1983,Alfonso Rojas Castro,,
374030118,AlfieMar93,Alfredo M,,
1191756832458649600,Alice_Caron_,Alice Caron,,
992414114235473920,alidrisicarto,Alidrisi Cartografía,,
886193556,AllisonCully,Allison Cully,,Canada
43329195,almablanco,El Alma de los Tacos,,
3986539095,AlonyCo,AlonyCo,,
2205978287,AlsuhailFaris,Faris Alsuhail,,
917742999844605952,AlxndrTheNate,Nathaniel A. Douglass,,
738681300,alyne_daluz,Alyne Spencer Gonçalves,,
3615739874,am_fallatah,Ahmad Fallatah,,
1105027229854126080,AMbabani,Allan Mbabani,,
81822434,amcharts,amCharts,,
3270581047,AnalisisGeo,Felipe Sosa,,
1047005255815368705,analytiikka,Kouvola Analytica  📊,,
538253168,Anamhoo,Anamhoo,,
93839237,andrewdc_nz,Andrew DC,,
301593228,AndrewRenninger,Andrew Renninger,,
364244689,Andria_Tzedda,Andria Tzedda,,
536467754,andy_meinke,Andreas Meinke,,
1513661708,andy_rutkowski,Andy Rutkowski,,
13844282,anlugonz,Ana Lucía González,,
184827671,AntenaSanLuis,Antena San Luis,,
1068074446714531841,AnthonyJohnG,AnthonyJ,,
113729499,antoaasa,Anto Aasa,,
1228027256,AntoinePeris,Antoine Peris,,
1033085881203273729,AntonyBarja1,Antony.Barja,,
