mapid	extension	aspect	Day	twitter_id	handle	date_posted	tweet_id	website	description
_kyliejane_04	jpg	16x16	04	14851579	_kyliejane	2019-11-09T06:25:49Z	1193052050721927173	_	"Day 4 hexagons #30DayMapChallenge  
Not sure about this sightings data 😂 ...23 in close vicinity to the wildlife zoo &amp; maritime museum, but I love turtles 🐢 https://t.co/1B4eV7sDfJ"
_kyliejane_05	jpg	16x16	05	14851579	_kyliejane	2019-11-10T06:12:51Z	1193411173963579393	_	Day 5 raster #30dayMapChallenge Maybe pretty basic but I had to learn most of this😮 Found 1m DEM, hillshade at 9am 5 November, over satellite. I spent a whole day trying to merge the DEM files, with me or QGIS failing &amp; errors &amp; losing resolution &amp; projection failures. Still fun https://t.co/3I08HVW5Hu
_kyliejane_09	jpg	16x16	09	14851579	_kyliejane	2019-11-17T03:31:05Z	1195907182220283905	_	Day 9 yellow #30dayMapChallenge Follow the sun ☀️ Involved maths 😬 and not at all sure it's correct, but fun to try &amp; work out &amp; then figure out how to plot it in QGIS. https://t.co/xIsJQ1dOFs
_kyliejane_10	jpg	16x16	10	14851579	_kyliejane	2019-11-17T08:33:01Z	1195983165250162688	_	Day 10 black &amp; white #30dayMapChallenge Playing with symbols trying to get hachure kinda things in qgis. Not very good but catching up. Could have spent days in Illustrator tidying that up &amp; making it look hand made :) https://t.co/YqEkcUOpF6
_kyliejane_11	jpg	16x16	11	14851579	_kyliejane	2019-11-17T08:34:53Z	1195983635473563649	_	Day 11 elevation #30dayMapChallenge Made these contours from a DEM when I finally got a merged file working. Simple again but learning everything :) https://t.co/kcDK689456
_kyliejane_12	jpg	16x11	12	14851579	_kyliejane	2019-11-20T09:22:41Z	1197082828711714816	_	"Trying again to post a smaller gif file for Day 12 to twitter
#30dayMapChallenge https://t.co/KF8wqfhgFe"
_kyliejane_13	jpg	16x16	13	14851579	_kyliejane	2019-11-23T03:54:59Z	1198087521143386112	_	Day 13 tracks #30dayMapChallenge is a mess. I had grand plans of making a lovely walking tracks of Sydney map but omg the data. I had to give up else I'd be here until next November 😂 (This is one I want to do properly when I've more time). https://t.co/84SooHQrf4
_kyliejane_14	jpg	16x16	14	14851579	_kyliejane	2019-11-23T06:54:52Z	1198132791185043456	_	Day 14 boundaries #30dayMapChallenge How many do we really need? There's so many more, so chose one of each of the official categories I could think of. https://t.co/1h210LN6Vb
_kyliejane_15	jpg	16x16	15	14851579	_kyliejane	2019-11-25T00:34:32Z	1198761853754568704	_	Day 15 names #30dayMapChallenge playing with labels in QGIS :) https://t.co/MzsZJQYE2o
_kyliejane_20	jpg	16x16	20	14851579	_kyliejane	2019-11-28T06:45:26Z	1199942359057723392	_	"Day 20 rural #30dayMapChallenge Yeah skipped some days but still determined to do them all :) For now doing what I had ideas &amp; could find data for.

Geo-referenced an 1894 map, hillshade, water to see the differences. https://t.co/kVImZwUaq3"
_kyliejane_28	jpg	16x14	28	14851579	_kyliejane	2019-12-01T05:14:26Z	1201006618558656512	_	Day 28 funny #30dayMapChallenge Fun for Sydney NYE 😂 made in QGIS. https://t.co/Svq1FLXwbP
_penguin_runner_02	jpg	16x11	02	223959960	_penguin_runner	2019-11-02T20:27:20Z	1190727108697509888	_	#30DayMapChallenge day 2: Lines - There are over 20 bridges across the River Forth and Firth of Forth #buildbridgesnotwalls #opensource #QGIS #QueensferryBridge #ForthRoadBridge #ForthBridge https://t.co/2EWnKrBCqu
_penguin_runner_10	jpg	16x11	10	223959960	_penguin_runner	2019-11-10T20:04:15Z	1193620405128441861	_	#30DayMapChallenge Day 10: Black and White - #Newcastle buildings centered on #StJamesPark #osopen #opensource #football #NUFC #QGIS #gischat #geography #cartography https://t.co/3PMLuNMfmO
_penguin_runner_11	jpg	11x16	11	223959960	_penguin_runner	2019-11-13T16:27:56Z	1194653131512188928	_	Forgot to post this on Monday: #30DayMapChallenge Day 12: Elevation - 50m contour map of Great Britain #contours #osopen #opensource #QGIS #gischat #geography #cartography https://t.co/J1ygEvI0SF
_penguin_runner_12	jpg	16x7	12	223959960	_penguin_runner	2019-11-12T15:07:39Z	1194270537230491648	_	#30DayMapChallenge Day 12: Movement gif showing the #dig deep #peaktrail50 2018 race I did last year #qgis #timemanger #ultramarathon https://t.co/MATBnBDZFr
_penguin_runner_13	jpg	15x16	13	223959960	_penguin_runner	2019-11-13T22:03:20Z	1194737538176606208	_	#30DayMapChallenge Day 13: Tracks - didn’t have time today to make a map from scratch, but here is my #gps track from a particularly awful piece of #orienteering last year, control 4 to 5... 😂#cantreadamap #whichwayisnorth #gis #strava #jk2018 https://t.co/h2vzR1NZ0g
_penguin_runner_14	jpg	11x16	14	223959960	_penguin_runner	2019-11-15T09:03:47Z	1195266133902934016	_	Forgot to post this yesterday: #30DayMapChallenge Day 14: Boundaries - Subdivisions of Great Britain - 22 in Wales, 32 in Scotland and 371 in England #boundaries #osopen #opensource #QGIS #gischat #geography #cartography https://t.co/uPbgacp8oU
_penguin_runner_15	jpg	11x16	15	223959960	_penguin_runner	2019-11-15T19:34:19Z	1195424812212146178	_	#30DayMapChallenge Day 15: Names - Royal Pub names - Pubs with names containing Crown, King, Prince, Princess, Queen or Royal #pubs #openstreetmap #gis #qgis https://t.co/IMwDncDXCF
_penguin_runner_16	jpg	16x11	16	223959960	_penguin_runner	2019-11-18T16:34:03Z	1196466609424097281	_	Forgot to post this on Saturday: #30DayMapChallenge Day 16: Places - Roads with 'Place' in the name within South Yorkshire #osopen #opensource #QGIS #gischat #geography #cartography https://t.co/YE5K4X2zlU
_penguin_runner_17	jpg	16x11	17	223959960	_penguin_runner	2019-11-18T16:34:53Z	1196466817205751813	_	Forgot to post this yesterday: #30DayMapChallenge Day 17: Zones - Natural Heritage Futures Zones #SNH #ScottishNaturalHeritage #nhfz #zones #opensource #QGIS #gischat #geography #cartography https://t.co/WWz7MN9MlV
